Center Name,Type,Latitude,Longitude
"Brgy. Alicia Hall, Brgy. Alicia",Evacuation Center,14.660125,121.025783
"Bago Bantay Elementary School, Brgy. Alicia",Evacuation Center,14.660247,121.022955
"Bagong Pag-asa Elementary School, Brgy. Bagong Pag-asa",Evacuation Center,14.663156,121.034132
"Multipurpose Covered Court, Brgy. Bagong Pag-asa",Evacuation Center,14.662081,121.034062
"Bahay Toro Barangay Hall, Brgy. Bahay Toro",Evacuation Center,14.664736,121.021661
"Toro Hills Elementary School, Brgy. Bahay Toro",Evacuation Center,14.665081,121.020629
"Barangay Hall Covered Court, Brgy. Balingasa",Evacuation Center,14.651475,121.013112
"Barangay Bungad Covered Court, Brgy. Bungad",Evacuation Center,14.652341,121.021256
"Bungad Elementary School, Brgy. Bungad",Evacuation Center,14.651145,121.024872
"Basketball Covered Court, Brgy. Damar",Evacuation Center,14.645401,120.998845
"Multi-purpose Hall, Brgy. Damar",Evacuation Center,14.647173,121.001254
"Cong Calalay Elementary School (F. Bautista Street), Brgy. Damayan",Evacuation Center,14.638575,121.014762
"Minor Basilica of Saint Pedro Bautista, Brgy. Damayan",Evacuation Center,14.638089,121.012901
"Dalupan Elementary School, Brgy. Del Monte",Evacuation Center,14.644906,121.012788
"San Francisco Elementary School, Brgy. Del Monte",Evacuation Center,14.640815,121.014247
"San Antonio Elementary School, Brgy. Katipunan",Evacuation Center,14.656217,121.017838
"Basketball Covered Court, Brgy. Katipunan",Evacuation Center,14.656501,121.017025
"Basketball Covered Court, Brgy. Lourdes",Evacuation Center,14.720264,121.038215
"PureGold Kanlaon, Brgy. Maharlika",Evacuation Center,14.637092,120.994530
"National Shrine of Our Lady of Lourdes, Brgy. Maharlika",Evacuation Center,14.630134,120.996842
"Basketball Covered Court, Brgy. Manresa",Evacuation Center,14.641633,121.003414
"Barangay Hall (Mariblo), Brgy. Mariblo",Evacuation Center,14.635346,121.017620
"Gazebo Hall, Brgy. Masambong",Evacuation Center,14.641485,121.009140
"Nayong Kanluran Barangay Hall, Brgy. Nayong Kanluran",Evacuation Center,14.641895,121.025874
"Barangay Hall Paang Bundok, Brgy. Paang Bundok",Evacuation Center,14.627851,120.993030
"Barangay Covered Court, Brgy. Pag-ibig sa Nayon",Evacuation Center,14.646267,120.996930
"San Jose Elementary School, Brgy. Pag-ibig sa Nayon",Evacuation Center,14.646508,120.996555
"Paltok Covered Court, Brgy. Paltok",Evacuation Center,14.642537,121.023310
"Paltok Elementary School, Brgy. ​​Paltok",Evacuation Center,14.643015,121.022366
"Bayanihan Elementary School, Brgy. ​​Paltok",Evacuation Center,14.645029,121.021752
"Paltok Barangay Hall, Brgy. ​​Paltok",Evacuation Center,14.643292,121.022289
"Residential House, Brgy. Paraiso",Evacuation Center,14.635337,121.018199
"Veterans Covered Court, Brgy. Project 6",Evacuation Center,14.659243,121.037350
"Project 6 Elementary School, Brgy. Project 6",Evacuation Center,14.662485,121.039771
"Multipurpose Hall, Brgy. Project 6",Evacuation Center,14.660260,121.040567
"Quirino 2A Multipurpose Hall, Brgy. Quirino 2-A",Evacuation Center,14.629682,121.058592
"Quirino High School & Elementary School, Brgy. Quirino 2-B",Evacuation Center,14.633141,121.061458
"Barangay Hall, Brgy. Ramon Magsaysay",Evacuation Center,14.659343,121.022642
"Covered Court, Brgy. Ramon Magsaysay",Evacuation Center,14.659551,121.021592
"Salvacion Barangay Hall, Brgy. Salvacion",Evacuation Center,14.628013,120.994975
"San Antonio De Padua Parish Church, Brgy. San Antonio",Evacuation Center,14.649492,121.016998
"San Jose Covered Court, Brgy. San Antonio",Evacuation Center,14.648743,121.014789
"San Isidro Labrador Barangay Hall, Brgy. San Isidro Labrador",Evacuation Center,14.621967,120.995547
"San Jose Elementary School, Brgy. San Jose",Evacuation Center,14.639647,120.993246
"Basketball Covered Court, Brgy. San Jose",Evacuation Center,14.640080,120.992075
"Siena Barangay Hall, Brgy. Siena",Evacuation Center,14.638155,121.006959
"Brgy. St. Peter Multi - Purpose Hall, Brgy. St. Peter",Evacuation Center,14.633695,120.998848
"Sta. Lucia Multipurpose Building, Brgy. Sta Lucia",Evacuation Center,14.707265,121.053317
"Barangay Multipurpose Hall, Brgy. Sta. Cruz",Evacuation Center,14.533768,121.004727
"Sta. Teresita Covered Court, Brgy. Sta. Teresita",Evacuation Center,14.622452,120.999776
"Sto. Cristo Elementary School, Brgy. Sto Cristo",Evacuation Center,14.661235,121.028662
"The Santo Domingo Church and Convent, Brgy. Sto. Domingo",Evacuation Center,14.626401,121.010518
"Sto. Nino Barangay Hall, Brgy. Sto. Nino",Evacuation Center,14.612511,121.011451
"Barangay Hall, Brgy. Vasra",Evacuation Center,14.656702,121.046410
"Esteban Abada Elementary School, Brgy. Veterans Village",Evacuation Center,14.654188,121.024465
"Lucresia Kasilag High School, Brgy. Veterans Village",Evacuation Center,14.654183,121.023858
"Covered Court, Brgy. Veterans Village",Evacuation Center,14.654904,121.023476
"Barangay Hall Multipurpose hall, Brgy. West Triangle",Evacuation Center,14.643664,121.030770
"Basketball Covered Court, Brgy. West Triangle",Evacuation Center,14.643556,121.030364
"Bagong Silangan Elementary School, Brgy. Bagong Silangan",Evacuation Center,14.696687,121.110040
"Bagong Silangan High School, Brgy. Bagong Silangan",Evacuation Center,14.696266,121.109457
"Bona Multipurpose Hall, Brgy. Bagong Silangan",Evacuation Center,14.699304,121.111227
"Brookside Evacuation Site, Brgy. Bagong Silangan",Evacuation Center,14.703683,121.113162
"Clemencia Evacuation Center, Brgy. Bagong Silangan",Evacuation Center,14.701977,121.113235
"Fil-Heights Club House, Brgy. Bagong Silangan",Evacuation Center,14.701755,121.106276
"Humanity ville Evacuation Center, Brgy. Bagong Silangan",Evacuation Center,14.698061,121.110651
"Kawan Chapel I (area 5 Sitio Veterans), Brgy. Bagong Silangan",Evacuation Center,14.705530,121.113493
"Lucban, Brgy. Bagong Silangan",Evacuation Center,14.696324,121.110952
"Lumang Palengke, Brgy. Bagong Silangan",Evacuation Center,14.695945,121.111117
"Pocalari Evacuation Center, Brgy. Bagong Silangan",Evacuation Center,14.699742,121.111339
"San Isidrio Church, Brgy. Bagong Silangan",Evacuation Center,14.706823,121.093797
"Scandivinian School Area 6, Brgy. Bagong Silangan",Evacuation Center,14.711530,121.104741
"Sitio Bakal, Brgy. Bagong Silangan",Evacuation Center,14.711285,121.118957
"Sulyap ng Pag-asa, Brgy. Bagong Silangan",Evacuation Center,14.699481,121.110868
"Tabing Tabing, Brgy. Bagong Silangan",Evacuation Center,14.704311,121.109457
"Vicente Ville, Brgy. Bagong Silangan",Evacuation Center,14.701418,121.103394
"Vicente ville Housing (CRB), Brgy. Bagong Silangan",Evacuation Center,14.698856,121.110820
"Area A-3 Covered Court, Brgy. Batasan Hills",Evacuation Center,14.683878,121.102003
"Saret Covered Court, Brgy. Batasan Hills",Evacuation Center,14.686147,121.099333
"Consti Covered Court, Brgy. Batasan Hills",Evacuation Center,14.688845,121.097404
"Kalayaan B Covered Court, Brgy. Batasan Hills",Evacuation Center,14.691211,121.090057
"Freedom Park Covered Court, Brgy. Batasan Hills",Evacuation Center,14.690701,121.093906
"Christ the King Filinvest 2, Brgy. Batasan Hills",Evacuation Center,14.692498,121.104950
"Barangay Hall Basement, Brgy. Batasan Hills",Evacuation Center,14.689939,121.094231
"The Church of Jesus Christ of Latter-Day Saints (Mormons), Brgy. Batasan Hills",Evacuation Center,14.681641,121.096564
"San Antonio Padua Church, Brgy. Batasan Hills",Evacuation Center,14.688247,121.098794
"Area B Covered Court, Brgy. Batasan Hills",Evacuation Center,14.681499,121.100371
"Batasan National High School, Brgy. Batasan Hills",Evacuation Center,14.689156,121.094952
"San Diego Elementary School, Brgy. Batasan Hills",Evacuation Center,14.686576,121.094549
"President Corazon Aquino Elementary School, Brgy. Batasan Hills",Evacuation Center,14.689267,121.093262
"Filinvest 2 K1 Covered Court, Brgy. Batasan Hills",Evacuation Center,14.684697,121.105965
"Phase I Covered Court, Brgy. Batasan Hills",Evacuation Center,14.521475,121.054966
"Kasunduan Basketball Court, Brgy. Commonwealth",Evacuation Center,14.696101,121.092534
"Soliven Covered Court, Brgy. Commonwealth",Evacuation Center,14.702066,121.088199
"Abris Court, Brgy. Commonwealth",Evacuation Center,14.703849,121.089555
"SANDATA – PA HOA, Brgy. Commonwealth",Evacuation Center,14.709205,121.091239
"MRB Covered court, Brgy. Commonwealth",Evacuation Center,14.697022,121.077244
"Purok 20 Covered Court, Brgy. Commonwealth",Evacuation Center,14.696235,121.073227
"Kaunlaran Covered Court, Brgy. Commonwealth",Evacuation Center,14.698966,121.088347
"St. Joseph Covered Court, Brgy. Commonwealth",Evacuation Center,14.703898,121.089499
"Covered Court, Brgy. Holy Spirit",Evacuation Center,14.684972,121.077929
"Gilarmi Covered Court, Brgy. Holy Spirit",Evacuation Center,14.689921,121.082248
"Sto. Niño Covered Court, Brgy. Holy Spirit",Evacuation Center,14.691165,121.080722
"LRB Covered Court, Brgy. Holy Spirit",Evacuation Center,14.695921,121.078406
"Gulayan ng Bulaklakan (Urban Farm) Multipurpose Hall, Brgy. Holy Spirit",Evacuation Center,14.676895,121.074759
"Multi-Purpose Hall, Brgy. Payatas",Evacuation Center,14.713174,121.095309
"Payatas Phase II Covered Court, Brgy. Payatas",Evacuation Center,14.716900,121.107989
"Payatas Phase 4 Covered Court, Brgy. Payatas",Evacuation Center,14.721569,121.110203
"Amlac Covered Court, Brgy. Payatas",Evacuation Center,14.720196,121.103372
"Atis Covered Court, Brgy. Payatas",Evacuation Center,14.707963,121.093873
"Payatas B Molave Basketball Court, Brgy. Payatas",Evacuation Center,14.713512,121.094398
