Center Name,Type,Latitude,Longitude
La Loma Fire Station,Fire Station,14.631874,120.994712
San Antonio Fire Station,Fire Station,14.656408,121.018104
Project 6 Fire Station,Fire Station,14.662353,121.040770
Bahay-Toro Fire Station,Fire Station,14.664724,121.020000
Agham Fire Station,Fire Station,14.652016,121.038420
Ramon Magsaysay Fire Sub Station,Fire Station,14.659610,121.021574
Masambong Fire Station,Fire Station,14.640457,121.012219
Congress Fire Sub Station,Fire Station,14.699484,121.095605
Holy Spirit Fire Station,Fire Station,14.684338,121.076448
Batasan Fire Station,Fire Station,14.688950,121.098404
Marilag Fire Sub Station,Fire Station,14.625512,121.066787
Eastwood Fire Station,Fire Station,14.610333,121.076630
Quirino 2A Fire Sub Station,Fire Station,14.631527,121.059133
Pinagkaisahan Fire Sub Station,Fire Station,14.628125,121.046276
Galas Fire Sub Station,Fire Station,14.611920,121.009099
Krus Na Ligas Fire Sub Station,Fire Station,14.647449,121.062911
Central Fire Station,Fire Station,14.648060,121.051842
Paligsahan Fire Sub Station,Fire Station,14.629494,121.025153
Novaliches Fire Station,Fire Station,14.721433,121.035456
San Bartolome Fire Station,Fire Station,14.711183,121.028177
Lagro Fire Station,Fire Station,14.722586,121.068209
Fairview Fire Sub Station,Fire Station,14.707417,121.072993
Sta. Lucia Fire Sub Station,Fire Station,14.716111,121.052285
Pasong Putik Fire Sub Station,Fire Station,14.728909,121.055747
Baesa Fire Sub Station,Fire Station,14.673780,121.013544
Talipapa Fire Sub Station,Fire Station,14.687772,121.025338
New Era Fire Station,Fire Station,14.667254,121.060861
Bago Bantay Health Center,Brgy. Health Center,14.660017,121.025799
Balingasa Health Center,Brgy. Health Center,14.648290,121.004547
La Loma Health Center,Brgy. Health Center,14.627131,120.990968
Masambong Health Center,Brgy. Health Center,14.640738,121.011527
Mercedes de Joya Health Center,Brgy. Health Center,14.622216,120.999831
Paltok Health Center,Brgy. Health Center,14.642545,121.021736
Project 6 Health Center,Brgy. Health Center,14.661945,121.040400
Project 7 Health Center,Brgy. Health Center,14.654493,121.023338
San Antonio Health Center,Brgy. Health Center,14.652455,121.014673
San Francisco Super Health Center,Brgy. Health Center,14.639382,121.014846
San Jose Health Center,Brgy. Health Center,14.639604,120.994419
Toro Hills,Brgy. Health Center,14.664250,121.021285
Bagong Silangan Health Center,Brgy. Health Center,14.697593,121.110658
Batasan Hills Super Health Center,Brgy. Health Center,14.686288,121.088454
Batasan Annex Health Center,Brgy. Health Center,14.686172,121.099078
Betty Go Belmonte Super Health Center,Brgy. Health Center,14.678243,121.071626
Commonwealth Health Center,Brgy. Health Center,14.696896,121.088182
Lupang Pangako Health Center,Brgy. Health Center,14.719248,121.105891
NGC Super Health Center,Brgy. Health Center,14.696511,121.079339
Veterans Health Center,Brgy. Health Center,14.683772,121.076004
Payatas A Health Center,Brgy. Health Center,14.698122,121.094629
Payatas B Health Center,Brgy. Health Center,14.716299,121.101302
Ermin Garcia Health Center,Brgy. Health Center,14.626196,121.052431
E. Rodriguez Health Center,Brgy. Health Center,14.632298,121.063371
Escopa Health Center,Brgy. Health Center,14.624613,121.072988
Libis Health Center,Brgy. Health Center,14.615054,121.075000
Murphy Super Health Center,Brgy. Health Center,14.615688,121.063401
Pansol Health Center,Brgy. Health Center,14.651155,121.077204
Project 4 Health Center,Brgy. Health Center,14.622234,121.065073
Socorro Health Center,Brgy. Health Center,14.621739,121.058553
Bernardo Health Center,Brgy. Health Center,14.628118,121.045860
Cubao Health Center,Brgy. Health Center,14.616526,121.046420
Galas Health Center,Brgy. Health Center,14.612763,121.010615
General Roxas Health Center,Brgy. Health Center,14.628228,121.022540
Kalayaan Health Center,Brgy. Health Center,14.615571,121.017659
Kamuning Super Health Center,Brgy. Health Center,14.625954,121.036853
Krus na Ligas Health Center,Brgy. Health Center,14.644602,121.064672
Pinyahan Health Center,Brgy. Health Center,14.635192,121.047326
San Vicente Health Center,Brgy. Health Center,14.653536,121.057018
Tatalon Health Center,Brgy. Health Center,14.621357,121.013453
Arsenia J Maximo Super Health Center,Brgy. Health Center,14.720694,121.039424
Bagbag Health Center,Brgy. Health Center,14.696459,121.030705
Capri Health Center,Brgy. Health Center,14.717018,121.028779
Fairview Health Center,Brgy. Health Center,14.699738,121.063884
Greater Lagro Health Center,Brgy. Health Center,14.725890,121.066220
Gulod Health Center,Brgy. Health Center,14.712545,121.038175
Kaligayahan Health Center,Brgy. Health Center,14.734947,121.050062
Maligaya Health Center,Brgy. Health Center,14.740803,121.064638
Nagkaisang Nayon Health Center,Brgy. Health Center,14.725505,121.027577
North Fairview Health Center,Brgy. Health Center,14.708630,121.065076
San Bartolome Health Center,Brgy. Health Center,14.708609,121.024470
Sta. Lucia Lying-In Clinic,Brgy. Health Center,14.707613,121.053351
Apolonio Samson Barangay Hall,Brgy. Health Center,14.655347,121.011604
Baesa Health Center,Brgy. Health Center,14.668938,121.012113
Banlat Health Center,Brgy. Health Center,14.679536,121.033822
Melchora Aquino Health Center,Brgy. Health Center,14.686176,121.047307
M.H. Pedro Health Center,Brgy. Health Center,14.674811,121.048232
Sauyo Health Center,Brgy. Health Center,14.687791,121.037711
Tandang Sora Health Center,Brgy. Health Center,14.687662,121.025458
Wenceslao Dela Paz (Culiat) Health Center,Brgy. Health Center,14.666898,121.057091
Doña Nicasia,Brgy. Health Center,14.707388,121.091165
Sta. Catalina Health Center,Brgy. Health Center,14.689405,121.083784
Payatas Super Health Center,Brgy. Health Center,14.709905,121.096625
Matandang Balara Barangay Hall,Brgy. Health Center,14.671785,121.074350
Old Balara (Annex),Brgy. Health Center,14.663019,121.074671
NGC Lying-in-Clinic,Brgy. Health Center,14.696599,121.079279
Brgy. Alicia Barangay Alicia Barangay Hall,Evacuation Center,14.660125,121.025783
Brgy. Alicia Bago Bantay Elementary School,Evacuation Center,14.660247,121.022955
Brgy. Bagong Pag-asa Bagong Pag-asa Elementary School,Evacuation Center,14.663156,121.034132
Brgy. Bagong Pag-asa Multipurpose Covered Court,Evacuation Center,14.662081,121.034062
Brgy. Bahay Toro Bahay Toro Basketball Court,Evacuation Center,14.667001,121.029210
Brgy. Bahay Toro Toro Hills Elementary School,Evacuation Center,14.665081,121.020629
Brgy. Balingasa Barangay Balingasa - Barangay Hall,Evacuation Center,14.651031,121.001502
Brgy. Bungad Barangay Balingasa - Barangay Hall,Evacuation Center,14.651031,121.001502
Brgy. Bungad Bungad Elementary School,Evacuation Center,14.651145,121.024872
Brgy. Damar Basketball Covered Court,Evacuation Center,14.696745,121.074803
Brgy. Damar Damar Village Multipurpose hall,Evacuation Center,14.645452,121.001730
Brgy. Damayan Cong Calalay Elementary School,Evacuation Center,14.638575,121.014762
Brgy. Damayan Minor Basilica of Saint Pedro Bautista,Evacuation Center,14.638089,121.012901
Brgy. Del Monte Dalupan Elementary School,Evacuation Center,14.644906,121.012788
Brgy. Del Monte San Francisco Elementary School,Evacuation Center,14.640815,121.014247
Brgy. Katipunan San Antonio Elementary School,Evacuation Center,14.656268,121.018936
Brgy. Katipunan Basketball Covered Court,Evacuation Center,14.696745,121.074803
Brgy. Lourdes Basketball Covered Court,Evacuation Center,14.696745,121.074803
Brgy. Maharlika PureGold Kanlaon,Evacuation Center,14.637092,120.994530
Brgy. Maharlika National Shrine of Our Lady of Lourdes,Evacuation Center,14.630134,120.996842
Brgy. Manresa Basketball Covered Court,Evacuation Center,14.696745,121.074803
Brgy. Mariblo Barangay Hall (Mariblo),Evacuation Center,14.634713,121.015591
Brgy. Mariblo Yakap Day Care Center,Evacuation Center,14.690774,121.090682
Brgy. Masambong Masambong Barangay Hall,Evacuation Center,14.641363,121.010948
Brgy. Nayong Kanluran Nayong Kanluran Barangay Hall,Evacuation Center,14.641895,121.025874
Brgy. Nayong Kanluran Nayong Kanluran Covered Court,Evacuation Center,14.640189,121.024551
Brgy. Paang Bundok Barangay Hall Paang Bundok,Evacuation Center,14.627851,120.993030
